Fresh Beef,160,filler
Fresh Beef Medium,160,filler
Fresh Beef,190,filler
Fresh Beef Well Done,190,filler
Ground Beef,170,filler
Fresh Veal,170,filler
Fresh Pork,190,filler
Chicken,187.5,filler
Turkey,187.5,filler
Boneless Turkey Roast,177.5,filler
Stuffing,165,filler
Cured Pork,190,filler
Raw Ham,190,filler
Cooked Ham,170,filler
Pork Shoulder,170,filler
Deer,165,filler
Rabbit,182.5,filler
Duck,182.5,filler
Goose,187.5,filler
Reheated Foods,162.5,filler
Frozen Convenience Foods,162.5,filler
Fresh Vegetables and Fruits,152.5,filler
Fish and Seafood,160,filler
